"ID","Longitude","Latitude","ServiceTime (min)"
175664,4.5809,49.66435,2
175665,4.57891,49.66533,2
175666,4.57589,49.66947,2
175667,4.57891,49.66533,2
175668,4.57891,49.66533,2
175669,4.57891,49.66536,2
175670,4.5758,49.66533,2
175671,4.57891,49.66533,2
175672,4.575349,49.665259,2
175673,4.57891,49.66533,2
175674,4.579392,49.664654,2
175675,4.57891,49.66533,2
175676,4.57844,49.66446,2
175677,4.57891,49.66536,2
175678,4.57917,49.66449,2
175679,4.57917,49.66449,2
175680,4.57917,49.66449,2
175681,4.57917,49.66449,2
175682,4.5809,49.66435,2
175683,4.57891,49.66533,2
175684,4.57891,49.66533,2
175685,4.57844,49.66446,2
175686,4.5758,49.66533,2
175687,4.5809,49.66435,2
175688,4.57987,49.66491,2
175689,4.57891,49.66533,2
175690,4.57589,49.66947,2
175691,4.57589,49.66947,2
175692,4.57891,49.66533,2
175693,4.579064,49.666017,2
175694,4.57891,49.66533,2
175695,4.57952,49.67336,2
175696,4.57952,49.67336,2
175697,4.57952,49.67336,2
175698,4.57952,49.67336,2
175699,4.57589,49.66947,2
175700,4.5758,49.66533,2
175701,4.57844,49.66446,2
175702,4.57589,49.66947,2
175703,4.57589,49.66947,2
175704,4.57589,49.66947,2
175705,4.57891,49.66533,2
175706,4.58095,49.66225,2
175707,4.57891,49.66533,2
175708,4.57891,49.66533,2
175709,4.5809,49.66435,2
175710,4.5809,49.66435,2
175711,4.57589,49.66947,2
175712,4.57952,49.67336,2
175713,4.5809,49.66435,2
175714,4.60102,49.70621,2
175715,4.60102,49.70621,2
175716,4.60102,49.70621,2
175717,4.60102,49.70621,2
175718,4.60387,49.70789,2
175719,4.60102,49.70621,2
175720,4.600781,49.710291,2
175721,4.602029,49.709989,2
175722,4.60102,49.70621,2
175723,4.60102,49.70621,2
175724,4.60179,49.70979,2
175725,4.60179,49.70979,2
175726,4.60179,49.70979,2
175727,4.592057,49.716634,2
175728,4.592057,49.716634,2
175729,4.609821,49.720067,2
175730,4.60102,49.70621,2
175731,4.60102,49.70621,2
175732,4.60387,49.70789,2
175733,4.60102,49.70621,2
175734,4.60179,49.70979,2
175735,4.60179,49.70979,2
175736,4.604,49.70979,2
175737,4.60179,49.70979,2
175738,4.60179,49.70979,2
175739,4.60102,49.70621,2
175740,4.60102,49.70621,2
175741,4.60102,49.70621,2
175742,4.601298,49.706337,2
175743,4.60179,49.70979,2
175744,4.60179,49.70979,2
175745,4.60179,49.70979,2
175746,4.60629,49.71835,2
175747,4.60179,49.70979,2
175748,4.60629,49.71835,2
175749,4.602532,49.710707,2
175750,4.60179,49.70979,2
175751,4.60179,49.70979,2
175752,4.60629,49.71835,2
175753,4.60629,49.71835,2
175754,4.60629,49.71835,2
175755,4.60629,49.71835,2
175756,4.60629,49.71835,2
175757,4.602606,49.710832,2
175758,4.602606,49.710832,2
175759,4.60179,49.70979,2
175760,4.60179,49.70979,2
175761,4.60179,49.70979,2
175762,4.604,49.70979,2
175763,4.60024,49.71038,2
175764,4.55534,49.66127,2
175765,4.55534,49.66127,2
175766,4.554,49.66135,2
175767,4.55988,49.66328,2
175768,4.55534,49.66127,2
175769,4.55534,49.66127,2
175770,4.55525,49.66496,2
175771,4.55807,49.66191,2
175772,4.55763,49.66236,2
175773,4.559974,49.663728,2
175774,4.55919,49.66317,2
175775,4.55988,49.66328,2
