"ID","Longitude","Latitude","ServiceTime (min)"
76203,4.71012,49.77166,2
76204,4.71008,49.77158,2
76205,4.71004,49.7715,2
76206,4.70999,49.77142,2
76207,4.70995,49.77134,2
76208,4.70995,49.77134,2
76209,4.70995,49.77134,2
76210,4.70995,49.77134,2
76211,4.70991,49.77126,2
76212,4.71994,49.77165,2
76213,4.70835,49.77198,2
76214,4.70991,49.77126,2
76215,4.70818,49.77203,2
76216,4.70847,49.77257,2
76217,4.70991,49.77126,2
76218,4.70853,49.77268,2
76219,4.70865,49.7729,2
76220,4.70991,49.77126,2
76221,4.70986,49.77118,2
76222,4.71008,49.77397,2
76223,4.70986,49.77118,2
76224,4.70906,49.77204,2
76225,4.70986,49.77118,2
76226,4.70987,49.77317,2
76227,4.70986,49.77118,2
76228,4.70992,49.77328,2
76229,4.71216,49.77533,2
76230,4.70986,49.77118,2
76231,4.71159,49.77431,2
76232,4.71012,49.77129,2
76233,4.71019,49.77142,2
76234,4.71121,49.77352,2
76235,4.71026,49.77155,2
76236,4.71032,49.77168,2
76237,4.71032,49.77168,2
76238,4.71032,49.77168,2
76239,4.71032,49.77168,2
76240,4.71102,49.7732,2
76241,4.71066,49.77224,2
76242,4.71045,49.77223,2
76243,4.71066,49.77224,2
76244,4.70986,49.77118,2
76245,4.71032,49.77168,2
76246,4.71066,49.77224,2
76247,4.71097,49.7728,2
76248,4.71066,49.77224,2
76249,4.71066,49.77224,2
76250,4.7111,49.77302,2
76251,4.71066,49.77224,2
76252,4.71136,49.77345,2
76253,4.71156,49.77382,2
76254,4.71066,49.77224,2
76255,4.71156,49.77382,2
76256,4.71066,49.77224,2
76257,4.71236,49.77534,2
76258,4.71066,49.77224,2
76259,4.71066,49.77224,2
76260,4.71316,49.77302,2
76261,4.71312,49.77299,2
76262,4.71066,49.77224,2
76263,4.71274,49.77214,2
76264,4.71066,49.77224,2
76265,4.71282,49.7721,2
76266,4.71066,49.77224,2
76267,4.71308,49.77265,2
76268,4.71066,49.77224,2
76269,4.71988,49.77177,2
76270,4.71605,49.77281,2
76271,4.71136,49.77345,2
76272,4.716,49.77273,2
76273,4.71605,49.77281,2
76274,4.71146,49.77358,2
76275,4.71609,49.77289,2
76276,4.71655,49.77389,2
76277,4.71149,49.77366,2
76278,4.71655,49.77389,2
76279,4.71655,49.77389,2
76280,4.71153,49.77374,2
76281,4.71655,49.77389,2
76282,4.71641,49.7735,2
76283,4.71153,49.77374,2
76284,4.71655,49.77389,2
76285,4.71675,49.77342,2
76286,4.71156,49.77382,2
76287,4.71717,49.77333,2
76288,4.71141,49.7739,2
76289,4.71141,49.7739,2
76290,4.71156,49.77382,2
76291,4.71717,49.77333,2
76292,4.71737,49.77328,2
76293,4.71156,49.77382,2
76294,4.71737,49.77328,2
76295,4.7116,49.7739,2
76296,4.7116,49.7739,2
76297,4.7116,49.7739,2
76298,4.7116,49.7739,2
76299,4.71987,49.7715,2
76300,4.7116,49.7739,2
76301,4.71983,49.77143,2
76302,4.71141,49.7739,2
76303,4.7116,49.7739,2
76304,4.71975,49.77128,2
76305,4.71979,49.77135,2
76306,4.7116,49.7739,2
76307,4.7116,49.7739,2
76308,4.7116,49.7739,2
76309,4.71163,49.77398,2
76310,4.71971,49.7712,2
76311,4.71166,49.77406,2
76312,4.71967,49.77113,2
76313,4.7117,49.77414,2
76314,4.71173,49.77422,2
76315,4.71966,49.77089,2
76316,4.71177,49.7743,2
76317,4.71987,49.77074,2
76318,4.71181,49.77443,2
76319,4.7197,49.77137,2
76320,4.71216,49.77502,2
76321,4.71221,49.7751,2
76322,4.7197,49.77137,2
76323,4.71884,49.77073,2
76324,4.71226,49.77518,2
76325,4.71949,49.77087,2
76326,4.71231,49.77526,2
76327,4.71231,49.77526,2
76328,4.71962,49.77139,2
76329,4.71231,49.77526,2
76330,4.71966,49.77146,2
76331,4.71231,49.77526,2
76332,4.71969,49.77154,2
76333,4.71231,49.77526,2
76334,4.7198,49.77175,2
76335,4.71328,49.77312,2
76336,4.71988,49.77177,2
76337,4.71324,49.77309,2
76338,4.71983,49.7718,2
76339,4.71324,49.77309,2
76340,4.7199,49.77194,2
76341,4.71324,49.77309,2
76342,4.71324,49.77309,2
76343,4.71992,49.77198,2
76344,4.71324,49.77309,2
76345,4.71995,49.77203,2
76346,4.71324,49.77309,2
76347,4.7132,49.77305,2
76348,4.72002,49.77217,2
76349,4.7132,49.77305,2
76350,4.72,49.77213,2
76351,4.7132,49.77305,2
76352,4.71316,49.77302,2
76353,4.72007,49.77227,2
76354,4.71316,49.77302,2
76355,4.70942,49.77433,2
76356,4.71316,49.77302,2
76357,4.70986,49.77418,2
76358,4.71316,49.77302,2
76359,4.71316,49.77302,2
76360,4.71316,49.77302,2
76361,4.71312,49.77299,2
76362,4.71312,49.77299,2
76363,4.71312,49.77299,2
76364,4.71312,49.77299,2
76365,4.71303,49.77286,2
76366,4.71271,49.77239,2
76367,4.71258,49.77193,2
76368,4.71274,49.77214,2
76369,4.71274,49.77214,2
76370,4.71274,49.77214,2
76371,4.71274,49.77214,2
76372,4.71274,49.77214,2
76373,4.71274,49.77214,2
76374,4.71141,49.7739,2
76375,4.71274,49.77214,2
76376,4.71141,49.7739,2
76377,4.71141,49.7739,2
76378,4.71282,49.77227,2
76379,4.71141,49.7739,2
76380,4.71108,49.7733,2
76381,4.71141,49.7739,2
76382,4.71291,49.7724,2
76383,4.71949,49.77087,2
76384,4.71299,49.77252,2
76385,4.71308,49.77265,2
76386,4.71308,49.77265,2
76387,4.71308,49.77265,2
76388,4.71308,49.77265,2
76389,4.71308,49.77265,2
76390,4.71308,49.77265,2
76391,4.71308,49.77265,2
76392,4.71308,49.77265,2
76393,4.71442,49.77381,2
76394,4.71442,49.77381,2
76395,4.71442,49.77381,2
76396,4.7141,49.77358,2
76397,4.7141,49.77358,2
76398,4.7141,49.77358,2
76399,4.7141,49.77358,2
76400,4.7141,49.77358,2
76401,4.7141,49.77358,2
76402,4.7141,49.77358,2
76403,4.7141,49.77358,2
76404,4.7141,49.77358,2
76405,4.71717,49.77333,2
76406,4.71283,49.77243,2
76407,4.7191,49.76014,2
76408,4.7165,49.77355,2
76409,4.71655,49.77389,2
76410,4.716,49.77273,2
76411,4.71655,49.77389,2
76412,4.71605,49.77281,2
76413,4.71605,49.77281,2
76414,4.71605,49.77281,2
76415,4.71655,49.77389,2
76416,4.71609,49.77289,2
76417,4.71609,49.77289,2
76418,4.71609,49.77289,2
76419,4.71609,49.77289,2
76420,4.71609,49.77289,2
76421,4.71609,49.77289,2
76422,4.71609,49.77289,2
76423,4.71613,49.77297,2
76424,4.71613,49.77297,2
76425,4.71613,49.77297,2
76426,4.71226,49.77518,2
76427,4.71613,49.77297,2
76428,4.71618,49.77304,2
76429,4.71655,49.77389,2
76430,4.71655,49.77389,2
76431,4.71655,49.77389,2
76432,4.71655,49.77389,2
76433,4.71226,49.77518,2
76434,4.71655,49.77389,2
76435,4.71655,49.77389,2
76436,4.71655,49.77389,2
76437,4.71655,49.77389,2
76438,4.71655,49.77389,2
76439,4.71655,49.77389,2
76440,4.71655,49.77389,2
76441,4.71655,49.77389,2
76442,4.71655,49.77389,2
76443,4.71141,49.7739,2
76444,4.71655,49.77389,2
76445,4.71655,49.77389,2
76446,4.71655,49.77389,2
76447,4.71655,49.77389,2
76448,4.71655,49.77389,2
76449,4.71655,49.77389,2
76450,4.71988,49.77177,2
76451,4.71655,49.77389,2
76452,4.71655,49.77389,2
76453,4.71655,49.77389,2
76454,4.71655,49.77389,2
76455,4.71673,49.77408,2
76456,4.71673,49.77408,2
76457,4.71665,49.77393,2
76458,4.71665,49.77393,2
76459,4.71973,49.77161,2
76460,4.71226,49.77518,2
76461,4.71665,49.77393,2
76462,4.71665,49.77393,2
76463,4.71665,49.77393,2
76464,4.71641,49.7735,2
76465,4.71641,49.7735,2
76466,4.71641,49.7735,2
76467,4.71675,49.77342,2
76468,4.71656,49.77346,2
76469,4.71656,49.77346,2
76470,4.71656,49.77346,2
76471,4.71656,49.77346,2
76472,4.71656,49.77346,2
76473,4.71656,49.77346,2
76474,4.71656,49.77346,2
76475,4.71656,49.77346,2
76476,4.71717,49.77333,2
76477,4.71717,49.77333,2
76478,4.71717,49.77333,2
76479,4.71717,49.77333,2
76480,4.71717,49.77333,2
76481,4.71717,49.77333,2
76482,4.71696,49.77337,2
76483,4.71696,49.77337,2
76484,4.71717,49.77333,2
76485,4.71717,49.77333,2
76486,4.71717,49.77333,2
76487,4.71717,49.77333,2
76488,4.70861,49.77247,2
76489,4.71696,49.77337,2
76490,4.70856,49.77239,2
76491,4.71696,49.77337,2
76492,4.71737,49.77328,2
76493,4.70852,49.77231,2
76494,4.70843,49.77214,2
76495,4.71737,49.77328,2
76496,4.71737,49.77328,2
76497,4.70839,49.77206,2
76498,4.70839,49.77206,2
76499,4.71737,49.77328,2
76500,4.70839,49.77206,2
76501,4.71737,49.77328,2
76502,4.70839,49.77206,2
76503,4.7199,49.77158,2
76504,4.70839,49.77206,2
76505,4.71987,49.7715,2
76506,4.70835,49.77198,2
76507,4.71987,49.7715,2
76508,4.70835,49.77198,2
76509,4.71983,49.77143,2
76510,4.70835,49.77198,2
76511,4.71983,49.77143,2
76512,4.71975,49.77128,2
76513,4.70818,49.77203,2
76514,4.71979,49.77135,2
76515,4.70818,49.77203,2
76516,4.7229,49.77101,2
76517,4.71979,49.77135,2
76518,4.70818,49.77203,2
76519,4.71975,49.77128,2
76520,4.70824,49.77214,2
76521,4.71979,49.77135,2
76522,4.71979,49.77135,2
76523,4.7083,49.77225,2
76524,4.70836,49.77236,2
76525,4.71975,49.77128,2
76526,4.71971,49.7712,2
76527,4.70842,49.77247,2
76528,4.71971,49.7712,2
76529,4.70847,49.77257,2
76530,4.71971,49.7712,2
76531,4.70847,49.77257,2
76532,4.71967,49.77113,2
76533,4.70847,49.77257,2
76534,4.70847,49.77257,2
76535,4.70847,49.77257,2
76536,4.71963,49.77106,2
76537,4.70847,49.77257,2
76538,4.71963,49.77106,2
76539,4.71966,49.77089,2
76540,4.70847,49.77257,2
76541,4.71972,49.77077,2
76542,4.70853,49.77268,2
76543,4.71884,49.77073,2
76544,4.70853,49.77268,2
76545,4.71675,49.77342,2
76546,4.71884,49.77073,2
76547,4.70853,49.77268,2
76548,4.71884,49.77073,2
76549,4.70853,49.77268,2
76550,4.71884,49.77073,2
76551,4.70847,49.77257,2
76552,4.70865,49.7729,2
76553,4.71884,49.77073,2
76554,4.70865,49.7729,2
76555,4.71884,49.77073,2
76556,4.70865,49.7729,2
76557,4.70865,49.7729,2
76558,4.71951,49.77077,2
76559,4.71031,49.77295,2
76560,4.71014,49.77299,2
76561,4.71949,49.77087,2
76562,4.70998,49.77302,2
76563,4.70981,49.77306,2
76564,4.71085,49.77296,2
76565,4.71949,49.77087,2
76566,4.71066,49.773,2
76567,4.71958,49.77132,2
76568,4.71958,49.77132,2
76569,4.71046,49.77304,2
76570,4.71958,49.77132,2
76571,4.71008,49.77312,2
76572,4.71958,49.77132,2
76573,4.71004,49.77389,2
76574,4.71962,49.77139,2
76575,4.70999,49.7738,2
76576,4.71962,49.77139,2
76577,4.71962,49.77139,2
76578,4.71962,49.77139,2
76579,4.70995,49.77371,2
76580,4.71962,49.77139,2
76581,4.71962,49.77139,2
76582,4.70991,49.77363,2
76583,4.71969,49.77154,2
76584,4.70865,49.7729,2
76585,4.70991,49.77363,2
76586,4.71969,49.77154,2
76587,4.71973,49.77161,2
76588,4.70986,49.77354,2
76589,4.71973,49.77161,2
76590,4.70982,49.77345,2
76591,4.70995,49.77134,2
76592,4.71973,49.77161,2
76593,4.71973,49.77161,2
76594,4.70978,49.77337,2
76595,4.71066,49.77224,2
76596,4.71988,49.77177,2
76597,4.70973,49.77328,2
76598,4.71988,49.77177,2
76599,4.71108,49.7733,2
76600,4.70969,49.77319,2
76601,4.7199,49.77194,2
76602,4.70963,49.77309,2
76603,4.7199,49.77194,2
76604,4.70963,49.77309,2
76605,4.7199,49.77194,2
76606,4.71992,49.77198,2
76607,4.70956,49.77297,2
76608,4.71995,49.77203,2
76609,4.71995,49.77203,2
76610,4.70949,49.77285,2
76611,4.71995,49.77203,2
76612,4.70949,49.77285,2
76613,4.71995,49.77203,2
76614,4.70949,49.77285,2
76615,4.71997,49.77208,2
76616,4.71997,49.77208,2
76617,4.70942,49.77273,2
76618,4.71997,49.77208,2
76619,4.70936,49.77262,2
76620,4.72,49.77213,2
76621,4.7093,49.7725,2
76622,4.70924,49.77239,2
76623,4.72,49.77213,2
76624,4.70924,49.77239,2
76625,4.72,49.77213,2
76626,4.70918,49.77227,2
76627,4.72002,49.77217,2
76628,4.70906,49.77204,2
76629,4.72002,49.77217,2
76630,4.70906,49.77204,2
76631,4.72002,49.77217,2
76632,4.70906,49.77204,2
76633,4.70906,49.77204,2
76634,4.72005,49.77222,2
76635,4.709,49.77193,2
76636,4.70942,49.77433,2
76637,4.70942,49.77433,2
76638,4.70894,49.77181,2
